Mes;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Enero;50.42;53.54;56.45;59.02;61.80;65.51;70.21;71.69;74.12;76.75;78.28;79.95;83.00;89.19;94.07;97.53;100.60;104.24;105.91;113.26;128.27;138.98
Febrero;50.98;54.18;57.02;59.41;62.53;66.50;70.80;72.28;74.57;77.22;78.63;80.45;83.96;90.33;95.01;98.22;101.18;104.94;106.58;115.11;130.40;
Marzo;51.51;54.71;57.46;59.83;63.29;67.04;71.15;72.46;74.77;77.31;78.79;80.77;84.45;91.18;95.46;98.45;101.62;105.53;107.12;116.26;131.77;
Abril;52.10;54.96;57.72;60.09;63.85;67.51;71.38;72.79;74.86;77.42;78.99;81.14;84.90;91.63;95.91;98.91;102.12;105.70;107.76;117.71;132.80;
Mayo;52.36;55.17;57.95;60.29;64.05;68.14;71.39;72.87;75.07;77.66;79.21;81.53;85.12;92.10;96.12;99.16;102.44;105.36;108.84;118.70;133.38;
Junio;52.33;55.51;58.18;60.48;64.12;68.73;71.35;72.95;75.31;77.72;79.39;81.61;85.21;92.54;96.23;99.31;102.71;104.97;108.78;119.31;133.78;
Julio;52.26;55.49;58.21;60.73;64.23;69.06;71.32;72.92;75.42;77.70;79.43;81.73;85.37;93.02;96.18;99.18;102.94;104.97;109.14;120.27;134.45;
Agosto;52.42;55.51;58.21;60.96;64.14;69.19;71.35;73.00;75.39;77.73;79.50;81.90;85.78;92.73;96.32;99.30;103.03;104.96;109.62;121.50;135.39;
Septiembre;52.53;55.67;58.46;61.14;64.20;69.06;71.28;72.90;75.62;77.96;79.73;82.01;86.39;92.68;96.36;99.47;103.26;105.29;110.04;122.63;136.11;
Octubre;52.56;55.66;58.60;61.05;64.20;69.30;71.19;72.84;75.77;78.08;79.52;82.14;86.98;92.62;96.37;99.59;103.43;105.23;110.06;123.51;136.45;
Noviembre;52.75;55.82;58.66;61.19;64.51;69.49;71.14;72.98;75.87;77.98;79.35;82.25;87.51;92.73;96.55;99.70;103.54;105.08;110.60;124.46;137.09;
Diciembre;53.07;55.99;58.70;61.33;64.82;69.80;71.20;73.45;76.19;78.05;79.56;82.47;88.05;93.11;96.92;100.00;103.80;105.48;111.41;126.03;137.72;
