Fecha;IPC;AOM
1/01/04;53.54;8.134069763
1/02/04;54.18;8.840025355
1/03/04;54.71;8.185337878
1/04/04;54.96;8.862909235
1/05/04;55.17;8.344865002
1/06/04;55.51;8.224285102
1/07/04;55.49;7.458860621
1/08/04;55.51;7.505526679
1/09/04;55.67;8.162959651
1/10/04;55.66;8.588870829
1/11/04;55.82;9.318551295
1/12/04;55.99;9.088084134
1/01/05;56.45;8.576171799
1/02/05;57.02;9.303400622
1/03/05;57.46;8.596774163
1/04/05;57.72;9.30798983
1/05/05;57.95;8.765360284
1/06/05;58.18;8.619868622
1/07/05;58.21;7.824477866
1/08/05;58.21;7.870594631
1/09/05;58.46;8.572060737
1/10/05;58.6;9.042540974
1/11/05;58.66;9.792658885
1/12/05;58.7;9.527961041
1/01/06;59.02;8.966619301
1/02/06;59.41;9.693353753
1/03/06;59.83;8.951357434
1/04/06;60.09;9.690178601
1/05/06;60.29;9.119302356
1/06/06;60.48;8.960633452
1/07/06;60.73;8.163211489
1/08/06;60.96;8.242423101
1/09/06;61.14;8.965032389
1/10/06;61.05;9.420599427
1/11/06;61.19;10.21501529
1/12/06;61.33;9.954852651
1/01/07;61.8;9.388971074
1/02/07;62.53;10.20241391
1/03/07;63.29;9.469019088
1/04/07;63.85;10.29652028
1/05/07;64.05;9.688029787
1/06/07;64.12;9.499930836
1/07/07;64.23;8.633674855
1/08/07;64.14;8.672392022
1/09/07;64.2;9.413723902
1/10/07;64.2;9.906674582
1/11/07;64.51;10.76925374
1/12/07;64.82;10.5213362
1/01/08;65.51;9.952613189
1/02/08;66.5;10.85016032
1/03/08;67.04;10.03006857
1/04/08;67.51;10.88673585
1/05/08;68.14;10.30667213
1/06/08;68.73;10.18294208
1/07/08;69.06;9.2829143
1/08/08;69.19;9.355204304
1/09/08;69.06;10.1263516
1/10/08;69.3;10.6936534
1/11/08;69.49;11.60061142
1/12/08;69.8;11.32967088
1/01/09;70.21;10.66666115
1/02/09;70.8;11.55174963
1/03/09;71.15;10.6449788
1/04/09;71.38;11.51081625
1/05/09;71.39;10.79825834
1/06/09;71.35;10.57111767
1/07/09;71.32;9.586699216
1/08/09;71.35;9.647258665
1/09/09;71.28;10.45187289
1/10/09;71.19;10.9852985
1/11/09;71.14;11.87606125
1/12/09;71.2;11.55691356
1/01/10;71.69;10.8915103
1/02/10;72.28;11.79322688
1/03/10;72.46;10.84097208
1/04/10;72.79;11.73819438
1/05/10;72.87;11.02211913
1/06/10;72.95;10.80817147
1/07/10;72.92;9.801768183
1/08/10;73;9.870355747
1/09/10;72.9;10.68941546
1/10/10;72.84;11.23990929
1/11/10;72.98;12.18322955
1/12/10;73.45;11.92212502
1/01/11;74.12;11.26068829
1/02/11;74.57;12.16686398
1/03/11;74.77;11.18657856
1/04/11;74.86;12.07200483
1/05/11;75.07;11.35488519
1/06/11;75.31;11.15782582
1/07/11;75.42;10.13781344
1/08/11;75.39;10.19350849
1/09/11;75.62;11.08825236
1/10/11;75.77;11.69203634
