Fecha;No regulado;Regulado
2004-02-11;166.8275997;206.7476934
2004-02-12;166.8459939;206.8252648
2004-02-13;165.7065398;206.6768615
2004-02-14;165.7446254;206.7246379
2004-02-15;165.2972163;207.8407127
2004-02-16;166.1913834;206.9187649
2004-02-17;165.8189087;206.909387
2004-02-18;167.3232162;206.9480492
2004-02-19;166.955575;206.9063708
2004-02-20;166.8550908;206.9261595
2004-02-21;165.7085739;206.6482775
2004-02-22;165.3997992;207.7743301
2004-02-23;165.9076011;206.7064116
2004-02-24;166.333429;206.7271139
2004-02-25;165.8158743;206.8565238
2004-02-26;164.5941529;205.997596
2004-02-27;167.037847;206.8945202
2004-02-28;165.2321916;206.6010971
2004-02-29;164.6951865;206.6031703
2004-03-01;166.9687364;205.7969242
2004-03-02;166.9821625;205.7914088
2004-03-03;168.3540223;205.8203843
2004-03-04;166.784105;205.8185963
2004-03-05;165.778039;205.8062674
2004-03-06;166.0888101;205.5242692
2004-03-07;165.2145618;206.5341909
2004-03-08;165.6467784;205.8036745
2004-03-09;165.3965104;205.817182
2004-03-10;167.1195682;205.7325877
2004-03-11;165.1511678;205.6599295
2004-03-12;165.1227582;205.6726826
2004-03-13;166.1357514;205.475681
2004-03-14;164.7192654;206.4276318
2004-03-15;165.3130874;205.5776424
2004-03-16;165.3640338;205.3826939
2004-03-17;164.4651019;205.535079
2004-03-18;164.4410579;205.2620813
2004-03-19;165.4315255;205.6831158
2004-03-20;165.3022052;205.4932568
2004-03-21;164.5533789;206.0550126
2004-03-22;164.6790984;206.5551757
2004-03-23;167.4622524;205.7912516
2004-03-24;165.6641265;205.5706127
2004-03-25;165.7300774;205.638223
2004-03-26;165.321106;205.5562126
2004-03-27;164.5221057;205.3236337
2004-03-28;164.0131225;206.174574
2004-03-29;164.8659629;204.8953081
2004-03-30;164.9033491;205.2289473
2004-03-31;164.9087378;205.1275716
2004-04-01;168.7663183;204.0255832
2004-04-02;166.6078362;204.1358395
2004-04-03;166.3772424;203.971867
2004-04-04;163.9218351;204.7130348
2004-04-05;165.8615661;204.1387598
2004-04-06;164.2902255;203.6234899
2004-04-07;163.6490094;203.1711311
2004-04-08;163.5867356;204.3099283
2004-04-09;163.0063066;204.0998504
2004-04-10;163.0560399;203.3382786
2004-04-11;163.3127689;203.7516287
2004-04-12;165.9823187;204.0048205
2004-04-13;165.6157696;204.0216934
2004-04-14;167.6174129;204.0140648
2004-04-15;168.1711984;203.9398903
2004-04-16;167.2938808;204.055671
2004-04-17;166.9466196;203.6505926
2004-04-18;166.0765998;204.4346008
2004-04-19;166.1770033;203.5914536
2004-04-20;165.5969505;203.9053029
2004-04-21;164.91328;203.8608546
2004-04-22;165.0149481;203.8419599
2004-04-23;164.7000418;203.8545639
2004-04-24;164.607654;203.3482772
2004-04-25;163.9660841;203.9154809
2004-04-26;164.0626626;203.0342073
2004-04-27;164.5790943;203.1171903
2004-04-28;164.2932376;203.5301868
2004-04-29;164.7875298;203.9663261
2004-04-30;164.3516449;203.6821491
2004-05-01;164.0561528;200.3639501
2004-05-02;163.7601909;200.4162234
2004-05-03;164.5360956;200.8833058
2004-05-04;164.9710641;200.8930672
2004-05-05;166.7646841;200.9026964
2004-05-06;165.4358908;200.9424351
2004-05-07;165.1732367;200.9755119
2004-05-08;164.6613417;200.5891916
2004-05-09;163.2048215;200.4552517
2004-05-10;165.7314371;200.9464199
2004-05-11;161.9484277;200.9389871
2004-05-12;162.053622;200.9392455
2004-05-13;162.4897353;200.9160055
2004-05-14;164.7298674;200.965964
2004-05-15;162.925189;200.6095426
2004-05-16;162.0650803;200.492422
2004-05-17;164.3470062;200.8787883
2004-05-18;162.6131602;200.9084829
2004-05-19;157.9606327;200.8592797
2004-05-20;156.2747224;200.8635148
2004-05-21;155.6519082;200.736437
2004-05-22;153.4216556;200.4170276
2004-05-23;149.9942832;200.1614409
2004-05-24;150.7850139;200.0030027
2004-05-25;155.5240281;200.5381921
2004-05-26;155.6267935;200.6860711
2004-05-27;155.9854162;200.6195475
2004-05-28;154.6834785;200.3305153
2004-05-29;152.5470699;199.4134097
2004-05-30;150.2317717;199.3596705
2004-05-31;154.5405054;200.2805972
2004-06-01;157.2124952;198.3775782
2004-06-02;158.4808529;198.1929336
2004-06-03;157.4870789;198.2119759
2004-06-04;156.679467;198.0786072
2004-06-05;155.4023465;197.4916399
2004-06-06;154.4174804;197.4146105
2004-06-07;156.4828804;198.1000289
2004-06-08;157.9224513;198.3963037
2004-06-09;161.7004415;198.476105
2004-06-10;160.1927823;198.5738443
2004-06-11;160.6643725;198.8005493
2004-06-12;160.6278767;198.1478137
2004-06-13;157.5974602;197.3402784
2004-06-14;157.8544327;197.2931427
2004-06-15;159.4222139;198.0204402
2004-06-16;162.498737;197.9894158
2004-06-17;162.4014571;197.9813395
2004-06-18;162.1238736;197.882965
2004-06-19;161.0446657;196.7881084
2004-06-20;160.2418134;196.5209099
2004-06-21;160.1755122;196.5822973
2004-06-22;161.7914564;197.8088137
2004-06-23;162.070404;197.8084969
2004-06-24;161.4417883;197.9117745
2004-06-25;161.6241764;198.4349092
2004-06-26;160.4767054;197.0689238
2004-06-27;159.8793333;196.7676845
2004-06-28;161.4951387;197.5046773
2004-06-29;162.0722755;197.8154624
2004-06-30;162.2863869;198.4974005
2004-07-01;162.5671656;196.6836858
2004-07-02;161.4251669;196.4282203
2004-07-03;161.2509153;195.7580581
2004-07-04;160.0247927;195.4682292
2004-07-05;160.1917106;195.6804949
2004-07-06;161.5152017;196.4663865
2004-07-07;161.2435756;196.4175374
2004-07-08;163.7798899;197.0367922
2004-07-09;161.8672429;196.5417937
2004-07-10;161.5836424;196.0438975
2004-07-11;160.9121418;195.2954284
2004-07-12;162.674395;196.7743457
2004-07-13;163.2871498;197.4493074
2004-07-14;163.6121052;196.9084118
2004-07-15;164.3851188;196.9070888
2004-07-16;164.1946864;196.6210514
2004-07-17;162.445935;196.0878841
2004-07-18;160.4385847;195.5437053
2004-07-19;161.4371775;196.5443244
2004-07-20;160.4736449;195.6120776
2004-07-21;161.4317388;196.746562
2004-07-22;161.3751138;196.6367114
2004-07-23;161.4782992;196.759095
2004-07-24;161.8184119;196.137229
2004-07-25;160.7908054;195.7257842
2004-07-26;162.3629235;197.2366192
2004-07-27;161.4687183;196.8054831
2004-07-28;162.0603257;196.7505663
2004-07-29;162.5642985;196.7015753
2004-07-30;162.0413373;196.5748359
2004-07-31;161.2926564;195.9612482
2004-08-01;160.4983868;194.5247215
2004-08-02;162.8991904;195.7763861
2004-08-03;164.4997323;196.0967234
2004-08-04;164.0072328;196.2893764
2004-08-05;163.0861792;197.0660027
2004-08-06;163.1218648;197.1833488
2004-08-07;162.1596795;195.4860231
2004-08-08;161.278285;195.1949297
2004-08-09;162.5169393;196.3553352
2004-08-10;163.2476898;196.2985754
2004-08-11;163.1748424;195.8995756
2004-08-12;162.3028478;196.0915776
2004-08-13;162.4784439;196.0886127
2004-08-14;162.1238175;196.0412816
2004-08-15;161.0300396;194.6184136
2004-08-16;161.5203672;194.5692771
2004-08-17;158.7308381;196.0621252
2004-08-18;158.4995407;195.4869954
2004-08-19;158.4354475;195.7306224
2004-08-20;159.1473615;195.7447179
2004-08-21;158.1315515;195.4622414
2004-08-22;155.3277409;194.6227202
2004-08-23;158.7999669;196.1688494
2004-08-24;158.7908265;195.5839463
2004-08-25;159.1120417;195.6801674
2004-08-26;158.8445486;196.1120738
2004-08-27;158.7477798;195.9386389
2004-08-28;157.4159986;195.0344057
2004-08-29;155.6471801;194.2796351
2004-08-30;158.1814629;195.6329626
2004-08-31;158.5026838;196.4423299
2004-09-01;160.53427;197.4995354
